Career Goal(s),Resume on File,Cover Letter on File,LinkedIn Profile,Job Preferences,Internship Applications,Internship Placements,Co-op Participation,Employer Feedback,Career Advisor Assigned,Skills Inventory,Certifications Completed,Job Offers Received,Employment Status,Industry of Interest,Portfolio Link,Career Fair Attendance,Interview Coaching Attended,Mock Interview Participation,Workshops Attended,Networking Events Attended,Employer Connections,Mentorship Participation,Alumni Networking Activity,Reference Contacts,Job Application History,Resume Edits,LinkedIn Coaching Completed,Internship Evaluation,Interview Dates,Volunteer Experience,Work-Study Participation,Professional Development Points,Gig/Part-time Work Logged,Job Placement Service Use,Employment Verification,Career Pathway Mapping,Career Readiness Score,Skill Gap Assessment,Industry Certification Interest,Labor Market Match Score,Internship Provider Contact,Career Workshop Feedback,Resume Score,Professional Licenses,Research Projects,Career Competency Ratings,Entrepreneurship Activities,Published Work,Internship Employer Industry
Goal: Become a Software Engineer in Technology.,resume_candidate1.pdf,coverletter_candidate1.pdf,https://linkedin.com/in/candidate1,"Prefers full-time, remote opportunities.",6,2,FALSE,Satisfactory performance,Alice Johnson,"Python, Excel, Communication, Leadership",Certification 1,1,Employed,Technology,https://portfolio.example.com/candidate1,1/2/00,FALSE,TRUE,2,3,Connected with Company 1,FALSE,1/2/00,Reference 1,4,2,FALSE,Meets expectations,1/15/23,Volunteered at local shelter.,TRUE,11,1,FALSE,TRUE,Pathway mapped to Technology,71,Minor skill gaps identified.,Interested in Six Sigma.,61,provider1@internships.com,Workshop was very informative.,61,None,Project 1,High,Participated in startup competitions.,Published 2 articles.,Technology
Goal: Become a Data Analyst in Finance.,resume_candidate2.pdf,coverletter_candidate2.pdf,https://linkedin.com/in/candidate2,"Prefers full-time, remote opportunities.",7,1,TRUE,Excellent performance,Bob Smith,"Python, Excel, Communication, Leadership",Certification 2,2,Unemployed,Finance,https://portfolio.example.com/candidate2,1/3/00,TRUE,FALSE,3,4,Connected with Company 2,TRUE,1/3/00,Reference 2,5,3,TRUE,Exceeds expectations,1/16/23,Volunteered at local shelter.,FALSE,12,2,TRUE,FALSE,Pathway mapped to Finance,72,Minor skill gaps identified.,Interested in Six Sigma.,62,provider2@internships.com,Workshop was very informative.,62,None,Project 2,Medium,Participated in startup competitions.,Published 2 articles.,Finance
Goal: Become a Marketing Manager in Healthcare.,resume_candidate3.pdf,coverletter_candidate3.pdf,https://linkedin.com/in/candidate3,"Prefers full-time, remote opportunities.",5,2,FALSE,Positive feedback,Carol Davis,"Python, Excel, Communication, Leadership",Certification 3,3,Student,Healthcare,https://portfolio.example.com/candidate3,1/1/00,FALSE,TRUE,4,2,Connected with Company 3,FALSE,1/4/00,Reference 3,6,1,FALSE,Meets expectations,1/17/23,Volunteered at local shelter.,TRUE,13,3,FALSE,TRUE,Pathway mapped to Healthcare,73,Minor skill gaps identified.,Interested in Six Sigma.,63,provider3@internships.com,Workshop was very informative.,63,None,Project 3,Low,Participated in startup competitions.,Published 2 articles.,Healthcare
Goal: Become a Financial Advisor in Education.,resume_candidate4.pdf,coverletter_candidate4.pdf,https://linkedin.com/in/candidate4,"Prefers full-time, remote opportunities.",6,1,TRUE,Satisfactory performance,David Miller,"Python, Excel, Communication, Leadership",Certification 4,0,Employed,Education,https://portfolio.example.com/candidate4,1/2/00,TRUE,FALSE,1,3,Connected with Company 4,TRUE,1/1/00,Reference 4,7,2,TRUE,Exceeds expectations,1/18/23,Volunteered at local shelter.,FALSE,14,0,TRUE,FALSE,Pathway mapped to Education,74,Minor skill gaps identified.,Interested in Six Sigma.,64,provider4@internships.com,Workshop was very informative.,64,None,Project 4,High,Participated in startup competitions.,Published 2 articles.,Manufacturing
Goal: Become a Project Manager in Manufacturing.,resume_candidate5.pdf,coverletter_candidate5.pdf,https://linkedin.com/in/candidate5,"Prefers full-time, remote opportunities.",7,2,FALSE,Excellent performance,Evelyn Garcia,"Python, Excel, Communication, Leadership",Certification 5,1,Unemployed,Manufacturing,https://portfolio.example.com/candidate5,1/3/00,FALSE,TRUE,2,4,Connected with Company 5,FALSE,1/2/00,Reference 5,3,3,FALSE,Meets expectations,1/19/23,Volunteered at local shelter.,TRUE,15,1,FALSE,TRUE,Pathway mapped to Manufacturing,75,Minor skill gaps identified.,Interested in Six Sigma.,65,provider5@internships.com,Workshop was very informative.,65,None,Project 5,Medium,Participated in startup competitions.,Published 2 articles.,Consulting
Goal: Become a Product Designer in Consulting.,resume_candidate6.pdf,coverletter_candidate6.pdf,https://linkedin.com/in/candidate6,"Prefers full-time, remote opportunities.",5,1,TRUE,Positive feedback,Alice Johnson,"Python, Excel, Communication, Leadership",Certification 6,2,Student,Consulting,https://portfolio.example.com/candidate6,1/1/00,TRUE,FALSE,3,2,Connected with Company 6,TRUE,1/3/00,Reference 6,4,1,TRUE,Exceeds expectations,1/20/23,Volunteered at local shelter.,FALSE,10,2,TRUE,FALSE,Pathway mapped to Consulting,76,Minor skill gaps identified.,Interested in Six Sigma.,66,provider6@internships.com,Workshop was very informative.,66,None,Project 6,Low,Participated in startup competitions.,Published 2 articles.,Education
Goal: Become a Consultant in Technology.,resume_candidate7.pdf,coverletter_candidate7.pdf,https://linkedin.com/in/candidate7,"Prefers full-time, remote opportunities.",6,2,FALSE,Satisfactory performance,Bob Smith,"Python, Excel, Communication, Leadership",Certification 7,3,Employed,Technology,https://portfolio.example.com/candidate7,1/2/00,FALSE,TRUE,4,3,Connected with Company 7,FALSE,1/4/00,Reference 7,5,2,FALSE,Meets expectations,1/21/23,Volunteered at local shelter.,TRUE,11,3,FALSE,TRUE,Pathway mapped to Technology,77,Minor skill gaps identified.,Interested in Six Sigma.,67,provider7@internships.com,Workshop was very informative.,67,None,Project 7,High,Participated in startup competitions.,Published 2 articles.,Retail
Goal: Become a Research Scientist in Finance.,resume_candidate8.pdf,coverletter_candidate8.pdf,https://linkedin.com/in/candidate8,"Prefers full-time, remote opportunities.",5,1,TRUE,Positive feedback,Carol Davis,"Python, Excel, Communication, Leadership",Certification 8,0,Unemployed,Finance,https://portfolio.example.com/candidate8,1/1/00,TRUE,FALSE,2,2,Connected with Company 8,TRUE,1/2/00,Reference 8,4,1,TRUE,Exceeds expectations,1/22/23,Volunteered at local shelter.,FALSE,11,0,TRUE,FALSE,Pathway mapped to Finance,78,Minor skill gaps identified.,Interested in Six Sigma.,68,provider8@internships.com,Workshop was very informative.,68,None,Project 8,Low,Participated in startup competitions.,Published 2 articles.,Healthcare
Goal: Become a HR Specialist in Healthcare.,resume_candidate9.pdf,coverletter_candidate9.pdf,https://linkedin.com/in/candidate9,"Prefers full-time, remote opportunities.",6,2,FALSE,Satisfactory performance,David Miller,"Python, Excel, Communication, Leadership",Certification 9,1,Student,Healthcare,https://portfolio.example.com/candidate9,1/2/00,FALSE,TRUE,3,3,Connected with Company 9,FALSE,1/3/00,Reference 9,5,2,FALSE,Meets expectations,1/23/23,Volunteered at local shelter.,TRUE,12,1,FALSE,TRUE,Pathway mapped to Healthcare,79,Minor skill gaps identified.,Interested in Six Sigma.,69,provider9@internships.com,Workshop was very informative.,69,None,Project 9,High,Participated in startup competitions.,Published 2 articles.,Manufacturing
Goal: Become an Operations Manager in Education.,resume_candidate10.pdf,coverletter_candidate10.pdf,https://linkedin.com/in/candidate10,"Prefers full-time, remote opportunities.",5,1,TRUE,Excellent performance,Evelyn Garcia,"Python, Excel, Communication, Leadership",Certification 10,2,Employed,Education,https://portfolio.example.com/candidate10,1/3/00,TRUE,FALSE,1,4,Connected with Company 10,TRUE,1/1/00,Reference 10,4,1,TRUE,Exceeds expectations,1/24/23,Volunteered at local shelter.,FALSE,10,2,TRUE,FALSE,Pathway mapped to Education,80,Minor skill gaps identified.,Interested in Six Sigma.,70,provider10@internships.com,Workshop was very informative.,70,Licensed Professional Engineer,Project 10,Low,Participated in startup competitions.,Published 2 articles.,Consulting
