Tuition Balance,Payment History,Payment Plan Status,Financial Aid Status,FAFSA Submission Date,FAFSA Status,Scholarship Awards,Grant Awards,Loan Type,Loan Amount,Loan Provider,Disbursement Dates,Refund Status,Billing Address,Third-party Sponsor Info,Work-study Hours,Work-study Wages,Financial Aid Advisor,Aid Eligibility,Dependency Status,Estimated Family Contribution (EFC),Need-based Aid Awarded,Merit-based Aid Awarded,Total Aid Awarded,Remaining Aid,Overpayment Flag,Financial Aid Appeals,Cost of Attendance,Direct vs Indirect Costs,In-State/Out-of-State Tuition Rate,Billing Due Dates,Outstanding Balance,Fees Paid,Late Fee Charges,Account Hold Status,Payment Method,Bank Info (if refunds via ACH),1098-T Form Info,Student Employment Income,Aid Disbursement Schedule,Parent PLUS Loan Info,Private Loan Info,Financial Literacy Session Completion,Satisfactory Academic Progress (SAP) Status,Financial Hardship Flag,Payment Receipt Uploads,Employer Tuition Reimbursement Participation,Veteran Benefits Info,GI Bill Info,Financial Need Calculation
5100,Partial payment,Active,Approved,1/10/23,Complete,500,0,Federal,2050,Bank of America,9/1/23,Issued,"1001 Main St, New York, NY 10011",N/A,1.5,150,Alice Johnson,FALSE,Dependent,2050,1020,510,38055,38050,FALSE,None,20100,Direct,In-State,8/15/23,1015,205,50,Clear,Credit Card,N/A,form1098T_candidate1.pdf,5100,3/15/23,None,None,FALSE,Satisfactory,FALSE,receipt_candidate1.pdf,FALSE,None,N/A,1520
5200,Paid in full,Not Enrolled,Pending,1/11/23,Incomplete,1000,300,Private,2100,Chase,9/2/23,Pending,"1002 Main St, Los Angeles, CA 90012",N/A,1.5,150,Bob Smith,TRUE,Independent,2100,1040,520,38085,38075,FALSE,None,20202,Indirect,Out-of-State,8/16/23,1030,210,0,Hold,Bank Transfer,"Wells Fargo, ****1002",form1098T_candidate2.pdf,5200,3/16/23,None,None,TRUE,Unsatisfactory,FALSE,receipt_candidate2.pdf,FALSE,None,N/A,1540
5300,Partial payment,Inactive,Denied,1/12/23,Pending,0,0,Parent PLUS,2150,Wells Fargo,9/3/23,None,"1003 Main St, Chicago, IL 60603",N/A,1.5,150,Carol Davis,FALSE,Dependent,2150,1060,530,38115,38100,FALSE,None,20300,Direct,In-State,8/17/23,1045,215,50,Suspended,Check,N/A,form1098T_candidate3.pdf,5300,3/17/23,Approved,None,FALSE,Satisfactory,TRUE,receipt_candidate3.pdf,FALSE,None,N/A,1560
5400,Paid in full,Active,Approved,1/13/23,Complete,500,300,None,0,N/A,9/4/23,Issued,"1004 Main St, Houston, TX 77004",N/A,1.5,150,David Miller,TRUE,Independent,2200,1080,540,38145,38125,FALSE,None,20400,Indirect,Out-of-State,8/18/23,1060,220,0,Clear,Cash,N/A,form1098T_candidate4.pdf,5400,3/18/23,None,None,TRUE,Unsatisfactory,FALSE,receipt_candidate4.pdf,FALSE,None,N/A,1580
5500,Partial payment,Not Enrolled,Pending,1/14/23,Incomplete,1000,0,Federal,2550,Bank of America,9/5/23,Pending,"1005 Main St, Phoenix, AZ 85005",Acme Scholarship,1.5,150,Evelyn Garcia,FALSE,Dependent,2050,1100,550,38175,38150,FALSE,None,20500,Direct,In-State,8/19/23,1075,225,50,Hold,Credit Card,N/A,form1098T_candidate5.pdf,5500,3/19/23,None,None,FALSE,Satisfactory,FALSE,receipt_candidate5.pdf,FALSE,None,N/A,1600
5600,Paid in full,Active,Approved,1/15/23,Complete,500,300,Private,2600,Chase,9/6/23,Issued,"1006 Main St, New York, NY 10016",N/A,1.5,150,Alice Johnson,TRUE,Independent,2100,1120,560,38205,38200,FALSE,None,20600,Indirect,Out-of-State,8/20/23,1090,230,0,Suspended,Bank Transfer,"Wells Fargo, ****1006",form1098T_candidate6.pdf,5600,3/20/23,None,None,TRUE,Unsatisfactory,FALSE,receipt_candidate6.pdf,FALSE,None,N/A,1620
5700,Partial payment,Not Enrolled,Pending,1/16/23,Incomplete,1000,0,Parent PLUS,2650,Wells Fargo,9/7/23,Pending,"1007 Main St, Los Angeles, CA 90017",N/A,1.5,150,Bob Smith,FALSE,Dependent,2150,1140,570,38235,38215,FALSE,None,20700,Direct,In-State,8/21/23,1105,235,50,Clear,Check,N/A,form1098T_candidate7.pdf,5700,3/21/23,None,None,FALSE,Satisfactory,TRUE,receipt_candidate7.pdf,FALSE,None,N/A,1640
5800,Paid in full,Inactive,Denied,1/17/23,Pending,0,300,None,0,N/A,9/8/23,Issued,"1008 Main St, Chicago, IL 60608",N/A,1.5,150,Carol Davis,TRUE,Independent,2200,1160,580,38265,38240,FALSE,None,20800,Indirect,Out-of-State,8/22/23,1120,240,0,Hold,Cash,N/A,form1098T_candidate8.pdf,5800,3/22/23,Approved,None,TRUE,Unsatisfactory,FALSE,receipt_candidate8.pdf,FALSE,None,N/A,1660
5900,Partial payment,Active,Approved,1/18/23,Complete,500,0,Federal,2950,Bank of America,9/9/23,None,"1009 Main St, Houston, TX 77009",N/A,1.5,150,David Miller,FALSE,Dependent,2250,1180,590,38295,38265,FALSE,None,20900,Direct,In-State,8/23/23,1135,245,50,Suspended,Credit Card,N/A,form1098T_candidate9.pdf,5900,3/23/23,None,None,FALSE,Satisfactory,FALSE,receipt_candidate9.pdf,FALSE,None,N/A,1680
6000,Paid in full,Not Enrolled,Pending,1/19/23,Incomplete,1000,300,Private,3000,Chase,9/10/23,Pending,"1010 Main St, Phoenix, AZ 85010",Acme Scholarship,1.5,150,Evelyn Garcia,TRUE,Independent,2300,1200,600,38325,38290,TRUE,None,21000,Indirect,Out-of-State,8/24/23,1150,250,0,Clear,Bank Transfer,"Wells Fargo, ****1010",form1098T_candidate10.pdf,6000,3/24/23,None,None,TRUE,Unsatisfactory,FALSE,receipt_candidate10.pdf,TRUE,Eligible,N/A,1700
